E(MeV)  pendfb7/Si30:2
0.41092702  3.06336769
0.411104849  3.16914311
0.411223402  3.25446154
0.411341954  3.35459403
0.411450627  3.46207036
0.411549421  3.57481772
0.411648215  3.70592301
0.411747009  3.85815646
0.411845802  4.03548612
0.411944596  4.24258303
0.412018692  4.42064705
0.412092787  4.620955
0.412166882  4.84612557
0.412239001  5.09164901
0.412310133  5.361426
0.412381264  5.66004052
0.412452396  5.98862272
0.412523527  6.34619946
0.412618369  6.8623688
0.412839667  8.13016692
0.412918702  8.53569461
0.412977979  8.79427002
0.413037255  8.99943727
0.413076772  9.10107016
0.413135258  9.19417916
0.413179518  9.21650949
0.413229903  9.19131436
0.413280288  9.11456647
0.413333636  8.98192427
0.413392912  8.7813785
0.413471947  8.44708674
0.413732763  7.12774399
0.413843412  6.58980733
0.413927387  6.2158475
0.414013337  5.86781646
0.414099288  5.55504332
0.414177335  5.30033797
0.414276129  5.0147482
0.414374922  4.76598487
0.414473716  4.54935082
0.41457251  4.36045653
0.414671304  4.19537155
0.414779977  4.03730977
0.414898529  3.88881351
0.415017082  3.7603397
0.415135634  3.64900453
0.415313463  3.50823297
0.415491292  3.39244516
0.41566912  3.29620959
0.415906225  3.19136838
0.41614333  3.10696578
0.416380435  3.03800561
0.416736093  2.95597805
0.41709175  2.89260248
0.41756596  2.82809372
0.41819824  2.76567349
0.41898859  2.71129722
0.41993701  2.66660109
0.42135964  2.6228007
0.42325648  2.58658872
0.426378363  2.55163076
0.431713225  2.51855656
0.4415926  2.48379653
0.46451275  2.43288078
0.5143048  2.35061177
0.63759763  2.18321101
0.640714913  2.18921179
0.641921603  2.20146289
0.642625505  2.21899492
0.643108181  2.24300492
0.643470188  2.275571
0.643711526  2.31137174
0.64389253  2.35163898
0.644013199  2.38874481
0.644133868  2.43828626
0.644244481  2.49961554
0.6443199  2.55415727
0.644395317  2.62306638
0.644470736  2.7117015
0.644521015  2.78556092
0.644571293  2.87501905
0.644621572  2.98460691
0.644659281  3.08365474
0.64469699  3.20092368
0.6447347  3.34085414
0.644759839  3.44945585
0.644784978  3.57267418
0.644810117  3.71305884
0.644835257  3.87372123
0.644860396  4.05826593
0.644885536  4.27088787
0.64490439  4.45166572
0.644923245  4.65328363
0.6449421  4.87825249
0.644960954  5.12921982
0.644979808  5.40888997
0.644998662  5.71980523
